Input, Output, Solution, Score, Structural Attempts, Time (sec)
Timed out
Timed out
mute 00 none.wav, mute 00 none.wav, Node {rootLabel = DSPNodeL {nodeId = 0, nodeContent = AmpApp 0.9999999999634603}, subForest = [Node {rootLabel = DSPNodeL {nodeId = 1, nodeContent = LPF 0.0 ( 1.0)}, subForest = []},Node {rootLabel = DSPNodeL {nodeId = 2, nodeContent = HPF 0.0 ( 1.0)}, subForest = []}]}, 6.727886932563631, 1, 48.138600511
mute 00 none.wav, mute 01 hat.wav, Node {rootLabel = DSPNodeL {nodeId = 0, nodeContent = AmpApp 1.0}, subForest = [Node {rootLabel = DSPNodeL {nodeId = 1, nodeContent = LPF ( 0.8240000000000001) 1.0}, subForest = []},Node {rootLabel = DSPNodeL {nodeId = 2, nodeContent = HPF 0.0 ( 1.0)}, subForest = []}]}, 8.330468797279726, 1, 28.887471125
mute 00 none.wav, mute 02 straight gold.wav, Node {rootLabel = DSPNodeL {nodeId = 0, nodeContent = AmpApp 0.9999999999490896}, subForest = [Node {rootLabel = DSPNodeL {nodeId = 1, nodeContent = LPF 0.0 ( 1.0)}, subForest = []},Node {rootLabel = DSPNodeL {nodeId = 2, nodeContent = HPF 0.0 ( 1.0)}, subForest = []}]}, 8.265132068403949, 1, 53.618788026
mute 00 none.wav, mute 03 straight copper.wav, Node {rootLabel = DSPNodeL {nodeId = 0, nodeContent = AmpApp 1.0}, subForest = [Node {rootLabel = DSPNodeL {nodeId = 1, nodeContent = LPF ( 0.756) 0.7874986100417516}, subForest = []},Node {rootLabel = DSPNodeL {nodeId = 2, nodeContent = HPF 0.0 ( 1.0)}, subForest = []}]}, 10.962215478379564, 6, 238.950421214
mute 00 none.wav, mute 04 straight silver.wav, Node {rootLabel = DSPNodeL {nodeId = 0, nodeContent = AmpApp 0.7}, subForest = [Node {rootLabel = DSPNodeL {nodeId = 6, nodeContent = Ringz 0.0 0.0 ( 1.1546070766144112e 8)}, subForest = []},Node {rootLabel = DSPNodeL {nodeId = 5, nodeContent = PitchShift 0.0 ( 0.3)}, subForest = []},Node {rootLabel = DSPNodeL {nodeId = 4, nodeContent = ID ( 0.3)}, subForest = []},Node {rootLabel = DSPNodeL {nodeId = 1, nodeContent = LPF ( 0.727) 0.3999998805400203}, subForest = []},Node {rootLabel = DSPNodeL {nodeId = 2, nodeContent = HPF 0.0 ( 1.0)}, subForest = []}]}, 11.772683584978362, 6, 238.460042285
mute 00 none.wav, mute 06 harmon joral.wav, Node {rootLabel = DSPNodeL {nodeId = 0, nodeContent = AmpApp 1.0}, subForest = [Node {rootLabel = DSPNodeL {nodeId = 5, nodeContent = PitchShift 0.0 ( 0.3)}, subForest = []},Node {rootLabel = DSPNodeL {nodeId = 4, nodeContent = ID ( 4.220300553470224e 8)}, subForest = []},Node {rootLabel = DSPNodeL {nodeId = 1, nodeContent = LPF 0.0 ( 0.7000000364803298)}, subForest = []},Node {rootLabel = DSPNodeL {nodeId = 2, nodeContent = HPF 0.0 ( 1.0)}, subForest = []}]}, 33.73627712510947, 6, 184.349848372
mute 00 none.wav, mute 07 perrier.wav, Node {rootLabel = DSPNodeL {nodeId = 0, nodeContent = AmpApp 0.6066666191145877}, subForest = [Node {rootLabel = DSPNodeL {nodeId = 6, nodeContent = Ringz 0.0 0.0 ( 3.569056161722983e 10)}, subForest = []},Node {rootLabel = DSPNodeL {nodeId = 5, nodeContent = PitchShift 0.0 ( 0.3)}, subForest = []},Node {rootLabel = DSPNodeL {nodeId = 4, nodeContent = ID ( 0.3)}, subForest = []},Node {rootLabel = DSPNodeL {nodeId = 1, nodeContent = LPF 0.0 ( 1.0)}, subForest = []},Node {rootLabel = DSPNodeL {nodeId = 2, nodeContent = HPF 0.0 ( 1.0)}, subForest = []}]}, 11.80275417384523, 6, 201.680409177
mute 00 none.wav, mute 08 elkhart swingtone.wav, Node {rootLabel = DSPNodeL {nodeId = 0, nodeContent = AmpApp 0.39999999999999997}, subForest = [Node {rootLabel = DSPNodeL {nodeId = 1, nodeContent = LPF 0.0 ( 1.0)}, subForest = []},Node {rootLabel = DSPNodeL {nodeId = 2, nodeContent = HPF ( 1.0) 1.0}, subForest = []}]}, 8.603968464037232, 1, 48.452608984
mute 00 none.wav, mute 09 cup with rag.wav, Node {rootLabel = DSPNodeL {nodeId = 0, nodeContent = AmpApp 0.7}, subForest = [Node {rootLabel = DSPNodeL {nodeId = 1, nodeContent = LPF ( 0.758) 0.7}, subForest = []},Node {rootLabel = DSPNodeL {nodeId = 2, nodeContent = HPF 0.0 ( 1.0)}, subForest = []}]}, 6.638433701604298, 1, 42.01629637
mute 00 none.wav, mute 10 harmon silver.wav, Node {rootLabel = DSPNodeL {nodeId = 3, nodeContent = PitchShift 0.3 0.0}, subForest = [Node {rootLabel = DSPNodeL {nodeId = 5, nodeContent = ID ( 8.772289561420621e 9)}, subForest = []},Node {rootLabel = DSPNodeL {nodeId = 0, nodeContent = AmpApp 0.9999999845745435}, subForest = [Node {rootLabel = DSPNodeL {nodeId = 1, nodeContent = LPF 0.0 ( 1.0)}, subForest = []},Node {rootLabel = DSPNodeL {nodeId = 2, nodeContent = HPF ( 1.0) 0.7}, subForest = []}]}]}, 17.87454638963536, 5, 186.090006267
mute 00 none.wav, mute 11 plastic cup.wav, Node {rootLabel = DSPNodeL {nodeId = 0, nodeContent = AmpApp 0.9999999999710987}, subForest = [Node {rootLabel = DSPNodeL {nodeId = 1, nodeContent = LPF 0.0 ( 1.0)}, subForest = []},Node {rootLabel = DSPNodeL {nodeId = 2, nodeContent = HPF 0.0 ( 1.0)}, subForest = []}]}, 7.809467233014554, 1, 41.681250515
